Date,Close
14-Apr-21,302.82
15-Apr-21,307.82
16-Apr-21,306.18
19-Apr-21,302.24
20-Apr-21,302.65
21-Apr-21,301.47
22-Apr-21,296.52
23-Apr-21,301.13
26-Apr-21,303.04
27-Apr-21,303.57
28-Apr-21,307.1
29-Apr-21,329.51
30-Apr-21,325.08
3-May-21,322.58
4-May-21,318.36
5-May-21,315.02
6-May-21,320.02
7-May-21,319.08
10-May-21,305.97
11-May-21,306.53
12-May-21,302.55
13-May-21,305.26
14-May-21,315.94
17-May-21,315.46
18-May-21,309.96
19-May-21,313.59
20-May-21,318.61
21-May-21,316.23
24-May-21,324.63
25-May-21,327.79
26-May-21,327.66
27-May-21,332.75
28-May-21,328.73
1-Jun-21,329.13
2-Jun-21,329.15
3-Jun-21,326.04
4-Jun-21,330.35
7-Jun-21,336.58
8-Jun-21,333.68
9-Jun-21,330.25
10-Jun-21,332.46
11-Jun-21,331.26
14-Jun-21,336.77
15-Jun-21,336.75
16-Jun-21,331.08
17-Jun-21,336.51
18-Jun-21,329.66
21-Jun-21,332.29
22-Jun-21,339.03
23-Jun-21,340.59
24-Jun-21,343.18
25-Jun-21,341.37
28-Jun-21,355.64
29-Jun-21,351.89
30-Jun-21,347.71
1-Jul-21,354.39
2-Jul-21,354.7
6-Jul-21,352.78
7-Jul-21,350.49
8-Jul-21,345.65
9-Jul-21,350.42
12-Jul-21,353.16
13-Jul-21,352.09
14-Jul-21,347.63
15-Jul-21,344.46
16-Jul-21,341.16
19-Jul-21,336.95
20-Jul-21,341.66
21-Jul-21,346.23
22-Jul-21,351.19
23-Jul-21,369.79
26-Jul-21,372.46
27-Jul-21,367.81
28-Jul-21,373.28
29-Jul-21,358.32
30-Jul-21,356.3
2-Aug-21,351.95
3-Aug-21,351.24
4-Aug-21,358.92
5-Aug-21,362.97
6-Aug-21,363.51
9-Aug-21,361.61
10-Aug-21,361.13
11-Aug-21,359.96
12-Aug-21,362.65
13-Aug-21,363.18
16-Aug-21,366.56
17-Aug-21,358.45
18-Aug-21,355.45
19-Aug-21,355.12
20-Aug-21,359.37
23-Aug-21,363.35
24-Aug-21,365.51
25-Aug-21,368.39
26-Aug-21,364.38
27-Aug-21,372.63
30-Aug-21,380.66
31-Aug-21,379.38
1-Sep-21,382.05
2-Sep-21,375.28
3-Sep-21,376.26
7-Sep-21,382.18
8-Sep-21,377.57
9-Sep-21,378
10-Sep-21,378.69
13-Sep-21,376.51
14-Sep-21,376.53
15-Sep-21,373.92
16-Sep-21,373.06
17-Sep-21,364.72
20-Sep-21,355.7
21-Sep-21,357.48
22-Sep-21,343.21
23-Sep-21,345.96
24-Sep-21,352.96
27-Sep-21,353.58
28-Sep-21,340.65
29-Sep-21,339.61
30-Sep-21,339.39
1-Oct-21,343.01
4-Oct-21,326.23
5-Oct-21,332.96
6-Oct-21,333.64
7-Oct-21,329.22
8-Oct-21,330.05
11-Oct-21,325.45
12-Oct-21,323.77
13-Oct-21,324.54
14-Oct-21,328.53
15-Oct-21,324.76
18-Oct-21,335.34
19-Oct-21,339.99
20-Oct-21,340.78
21-Oct-21,341.88
22-Oct-21,324.61
25-Oct-21,328.69
26-Oct-21,315.81
27-Oct-21,312.22
28-Oct-21,316.92
29-Oct-21,323.57
1-Nov-21,329.98
2-Nov-21,328.08
3-Nov-21,331.62
4-Nov-21,335.85
5-Nov-21,341.13
8-Nov-21,338.62
9-Nov-21,335.37
10-Nov-21,327.64
11-Nov-21,327.74
12-Nov-21,340.89
15-Nov-21,347.56
16-Nov-21,342.96
17-Nov-21,340.77
18-Nov-21,338.69
19-Nov-21,345.3
22-Nov-21,341.01
23-Nov-21,337.25
24-Nov-21,341.06
26-Nov-21,333.12
29-Nov-21,338.03
30-Nov-21,324.46
