Date,Close
14-Apr-21,732.23
15-Apr-21,738.85
16-Apr-21,739.78
19-Apr-21,714.63
20-Apr-21,718.99
21-Apr-21,744.12
22-Apr-21,719.69
23-Apr-21,729.4
26-Apr-21,738.2
27-Apr-21,704.74
28-Apr-21,694.4
29-Apr-21,677
30-Apr-21,709.44
3-May-21,684.9
4-May-21,673.6
5-May-21,670.94
6-May-21,663.54
7-May-21,672.37
10-May-21,629.04
11-May-21,617.2
12-May-21,589.89
13-May-21,571.69
14-May-21,589.74
17-May-21,576.83
18-May-21,577.87
19-May-21,563.46
20-May-21,586.78
21-May-21,580.88
24-May-21,606.44
25-May-21,604.69
26-May-21,619.13
27-May-21,630.85
28-May-21,625.22
1-Jun-21,623.9
2-Jun-21,605.12
3-Jun-21,572.84
4-Jun-21,599.05
7-Jun-21,605.13
8-Jun-21,603.59
9-Jun-21,598.78
10-Jun-21,610.12
11-Jun-21,609.89
14-Jun-21,617.69
15-Jun-21,599.36
16-Jun-21,604.87
17-Jun-21,616.6
18-Jun-21,623.31
21-Jun-21,620.83
22-Jun-21,623.71
23-Jun-21,656.57
24-Jun-21,679.82
25-Jun-21,671.87
28-Jun-21,688.72
29-Jun-21,680.76
30-Jun-21,679.7
1-Jul-21,677.92
2-Jul-21,678.9
6-Jul-21,659.58
7-Jul-21,644.65
8-Jul-21,652.81
9-Jul-21,656.95
12-Jul-21,685.7
13-Jul-21,668.54
14-Jul-21,653.38
15-Jul-21,650.6
16-Jul-21,644.22
19-Jul-21,646.22
20-Jul-21,660.5
21-Jul-21,655.29
22-Jul-21,649.26
23-Jul-21,643.38
26-Jul-21,657.62
27-Jul-21,644.78
28-Jul-21,646.98
29-Jul-21,677.35
30-Jul-21,687.2
2-Aug-21,709.67
3-Aug-21,709.74
4-Aug-21,710.92
5-Aug-21,714.63
6-Aug-21,699.1
9-Aug-21,713.76
10-Aug-21,709.99
11-Aug-21,707.82
12-Aug-21,722.25
13-Aug-21,717.17
16-Aug-21,686.17
17-Aug-21,665.71
18-Aug-21,688.99
19-Aug-21,673.47
20-Aug-21,680.26
23-Aug-21,706.3
24-Aug-21,708.49
25-Aug-21,711.2
26-Aug-21,701.16
27-Aug-21,711.92
30-Aug-21,730.91
31-Aug-21,735.72
1-Sep-21,734.09
2-Sep-21,732.39
3-Sep-21,733.57
7-Sep-21,752.92
8-Sep-21,753.87
9-Sep-21,754.86
10-Sep-21,736.27
13-Sep-21,743
14-Sep-21,744.49
15-Sep-21,755.83
16-Sep-21,756.99
17-Sep-21,759.49
20-Sep-21,730.17
21-Sep-21,739.38
22-Sep-21,751.94
23-Sep-21,753.64
24-Sep-21,774.39
27-Sep-21,791.36
28-Sep-21,777.56
29-Sep-21,781.31
30-Sep-21,775.48
1-Oct-21,775.22
4-Oct-21,781.53
5-Oct-21,780.59
6-Oct-21,782.75
7-Oct-21,793.61
8-Oct-21,785.49
11-Oct-21,791.94
12-Oct-21,805.72
13-Oct-21,811.08
14-Oct-21,818.32
15-Oct-21,843.03
18-Oct-21,870.11
19-Oct-21,864.27
20-Oct-21,865.8
21-Oct-21,894
22-Oct-21,909.68
25-Oct-21,"1,024.86"
26-Oct-21,"1,018.43"
27-Oct-21,"1,037.86"
28-Oct-21,"1,077.04"
29-Oct-21,"1,114.00"
1-Nov-21,"1,208.59"
2-Nov-21,"1,172.00"
3-Nov-21,"1,213.86"
4-Nov-21,"1,229.91"
5-Nov-21,"1,222.09"
8-Nov-21,"1,162.94"
9-Nov-21,"1,023.50"
10-Nov-21,"1,067.95"
11-Nov-21,"1,063.51"
12-Nov-21,"1,033.42"
15-Nov-21,"1,013.39"
16-Nov-21,"1,054.73"
17-Nov-21,"1,089.01"
18-Nov-21,"1,096.38"
19-Nov-21,"1,137.06"
22-Nov-21,"1,156.87"
23-Nov-21,"1,109.03"
24-Nov-21,"1,116.00"
26-Nov-21,"1,081.92"
29-Nov-21,"1,136.99"
30-Nov-21,"1,144.76"
1-Dec-21,"1,095.00"
2-Dec-21,"1,084.60"
3-Dec-21,"1,014.97"
6-Dec-21,"1,009.01"
7-Dec-21,"1,051.75"
8-Dec-21,"1,068.96"
9-Dec-21,"1,003.80"
10-Dec-21,"1,017.03"
13-Dec-21,966.41
14-Dec-21,958.51
15-Dec-21,975.99
16-Dec-21,926.92
17-Dec-21,932.57
20-Dec-21,899.94
21-Dec-21,938.53
22-Dec-21,"1,008.87"
23-Dec-21,"1,067.00"
27-Dec-21,"1,093.94"
28-Dec-21,"1,088.47"
29-Dec-21,"1,086.19"
30-Dec-21,"1,070.34"
31-Dec-21,"1,056.78"
3-Jan-22,"1,199.78"
4-Jan-22,"1,149.59"
5-Jan-22,"1,088.12"
6-Jan-22,"1,064.70"
7-Jan-22,"1,026.96"
10-Jan-22,"1,058.12"
11-Jan-22,"1,064.40"
12-Jan-22,"1,106.22"
13-Jan-22,"1,031.56"
14-Jan-22,"1,049.61"
18-Jan-22,"1,030.51"
19-Jan-22,995.65
20-Jan-22,996.27
21-Jan-22,943.9
24-Jan-22,930
